RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
79,Emory University,,,,,,11468.0,9629.0,19672.0,24657.0,43267.0,,,,,,,,,,,,10746.0,,,,14335.0,,37489.0,,,,,69502.0,,53804.0,53804.0,,16556,15000,15259,15875,,,,,,23375966,36328007,8966420,20158322,5717844,18992081,26491875,31390446,0.32,0.18,0.31,0.22,,,57366.0,71805.0,,57366.0,71805.0
82,University of Utah,11511.0,13192.0,14501.0,17718.0,18410.0,,,,,,,,,,,,,,,,12138.0,,,,13913.0,,18070.0,,,,,,20948.0,,8615.0,27220.0,,18750,13750,14500,12586,,,,,,107845961,127125515,32717544,64593580,23175920,56291661,68078816,72939279,0.34,0.11,0.35,0.15,,,47858.0,60025.0,,47858.0,60025.0
88,University of Texas MD Anderson Cancer Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Carnegie Mellon University,,,,,,12542.0,13782.0,18276.0,30722.0,52585.0,,,,,,,,,,,,12992.0,,,,16285.0,,47249.0,,,,,72265.0,,57119.0,57119.0,,22014,19000,19500,19000,,,,,,12540054,29536008,3594032,18746670,4218627,22329208,14991153,20523058,0.43-0.44,0.25-0.26,0.39,0.36,,,86423.0,105185.0,,86423.0,105185.0
93,Baylor College of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,,,77291.0,,,77291.0,
104,University of Rochester,,,,,,15324.0,14508.0,23659.0,29342.0,44732.0,,,,,,,,,,,,15107.0,,,,20537.0,,40254.0,,,,,72721.0,,56030.0,56030.0,,20000,19000,19000,19000,,,,,,25685268,40859159,8494561,21174710,8603564,28699218,26546554,31382150,0.43,0.15,0.37,0.20,,,60800.0,75454.0,,60800.0,75454.0
110,"University of California, Santa Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dartmouth College,,,,,,11397.0,4830.0,9044.0,14238.0,51782.0,,,,,,,,,,,,8264.0,,,,6916.0,,46826.0,,,,,74359.0,,57638.0,57638.0,,17000,7500,10556,17000,,,,,,4219220,8114315,1789394,7481000,1662913,11163135,6568493,8399971,0.45-0.46,0.23-0.24,0.41-0.42,0.33-0.34,,,60840.0,90893.0,,60840.0,90893.0
127,Stony Brook University,10683.0,12993.0,18186.0,19703.0,22454.0,,,,,,,,,,,,,,,,11374.0,,,,15185.0,,21503.0,,,,,,25177.0,,10175.0,27845.0,,18750,15000,15000,15000,,,,,,75276315,100879408,36329241,64403165,16723045,51624539,66925398,76642433,0.34,0.16,0.33,0.20,,,48743.0,67114.0,,48743.0,67114.0
